,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
1248,17.0,5.0,4.0,1060.0,1.0,41.0,0.0,EE,60.0,29.03,2.0,5.0,4.0,1,3.0,UpTo3Years,15To25Years,15.0,8.0,1995.0,0.0,0.0,0.0,0.0,0.0,700.0,2695.0,12.0,3318.0,2.0,43.04,120.97,15.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1249,10.0,6.0,4.0,500.0,1.0,35.0,0.0,EE,6.0,92.8,2.0,4.0,3.0,0,3.0,UpTo5Years,2To5Years,3.0,2.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,6.0,729.64,1.0,58.54,84.56,10.0,False,1.0,1100.0,658.41,500.0,1.0,0.0,1.0,0.0,0.0,0.0
1250,15.0,2.0,4.0,4785.0,6.0,27.0,0.0,ES,60.0,239.1,7.0,2.0,3.0,1,3.0,UpTo1Year,5To10Years,8.0,2.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,7.0,1007.0,1.0,58.18,141.9,2.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1251,20.0,3.0,1.0,4250.0,3.0,34.0,0.0,EE,48.0,196.67,2.0,2.0,1.0,1,5.0,UpTo2Years,15To25Years,6.0,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,3.0,1220.0,0.0,18.31,83.33,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1252,11.0,7.0,4.0,531.0,3.0,43.0,1.0,EE,60.0,17.27,-1.0,5.0,-1.0,empty,-1.0,MoreThan5Years,,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,19.0,False,5.0,15415.0,1686.95,,0.0,1.0,1.0,0.0,0.0,0.0
1253,15.0,6.0,1.0,850.0,1.0,23.0,1.0,EE,60.0,37.44,7.0,3.0,2.0,1,3.0,UpTo2Years,2To5Years,9.0,4.0,0.0,0.0,45.0,0.0,550.0,0.0,0.0,595.0,7.0,592.34,1.0,52.4,33.22,15.0,False,2.0,2700.0,527.67,1000.0,1.0,0.0,1.0,0.0,0.0,0.0
1255,14.0,5.0,4.0,1595.0,6.0,31.0,0.0,ES,60.0,69.93,7.0,5.0,1.0,2,3.0,UpTo3Years,10To15Years,10.0,3.0,1795.0,0.0,0.0,0.0,0.0,0.0,600.0,2395.0,12.0,2652.0,2.0,69.64,9.07,26.0,False,2.0,8800.0,11041.8,6000.0,1.0,0.0,1.0,0.0,0.0,0.0
1257,14.0,2.0,3.0,10000.0,4.0,27.0,0.0,FI,60.0,325.85,2.0,3.0,2.0,2,3.0,MoreThan5Years,5To10Years,1.0,1.0,1553.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.0,2.0,800.0,0.0,40.3,427.15,25.0,True,0.0,0.0,0.0,10000.0,1.0,0.0,1.0,0.0,0.0,0.0
1258,0.0,6.0,3.0,1060.0,6.0,23.0,1.0,ES,60.0,43.66,2.0,3.0,3.0,0,3.0,UpTo1Year,2To5Years,6.0,2.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,3.0,1329.0,1.0,13.94,407.34,5.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1259,10.0,3.0,1.0,1000.0,6.0,59.0,0.0,ES,60.0,81.47,4.0,5.0,3.0,0,3.0,MoreThan5Years,15To25Years,6.0,2.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1.0,360.0,0.0,6.79,758.53,10.0,True,0.0,0.0,0.0,1000.0,2.0,1.0,1.0,0.0,0.0,0.0
1261,9.0,7.0,4.0,3190.0,3.0,46.0,0.0,EE,60.0,86.81,0.0,3.0,1.0,0,3.0,MoreThan5Years,15To25Years,4.0,1.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,12.0,847.32,1.0,68.81,8.87,10.0,False,1.0,3000.0,2112.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1263,12.0,5.0,3.0,8000.0,4.0,58.0,1.0,FI,60.0,253.94,6.0,5.0,1.0,0,3.0,MoreThan5Years,MoreThan25Years,17.0,1.0,1855.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.0,4.0,1093.83,0.0,25.65,507.23,1.0,False,1.0,2000.0,1073.59,2095.0,1.0,1.0,1.0,0.0,0.0,0.0
1265,6.0,2.0,3.0,800.0,4.0,36.0,0.0,FI,36.0,32.74,5.0,3.0,1.0,2,3.0,MoreThan5Years,10To15Years,6.0,8.0,2177.0,0.0,200.0,0.0,0.0,0.0,0.0,2377.0,2.0,1223.0,0.0,1.38,1121.26,26.0,True,0.0,0.0,0.0,800.0,1.0,0.0,1.0,0.0,0.0,0.0
1267,13.0,4.0,3.0,500.0,1.0,32.0,0.0,EE,36.0,23.32,2.0,2.0,3.0,0,3.0,MoreThan5Years,10To15Years,3.0,2.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,2.0,357.0,0.0,18.62,319.68,12.0,True,0.0,0.0,0.0,500.0,1.0,0.0,1.0,0.0,0.0,0.0
1268,12.0,1.0,3.0,530.0,1.0,41.0,0.0,EE,60.0,15.09,2.0,3.0,3.0,0,3.0,MoreThan5Years,5To10Years,6.0,4.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,2.0,363.08,0.0,33.55,3.83,15.0,False,1.0,2000.0,450.19,2000.0,1.0,0.0,1.0,0.0,0.0,0.0
1269,22.0,6.0,4.0,3000.0,4.0,26.0,1.0,FI,48.0,171.68,7.0,5.0,3.0,0,3.0,UpTo2Years,5To10Years,17.0,4.0,1802.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.0,11.0,2289.73,4.0,69.83,3.59,1.0,False,1.0,2500.0,731.29,3000.0,1.0,1.0,1.0,0.0,0.0,0.0
1270,15.0,2.0,1.0,6485.0,3.0,47.0,1.0,EE,60.0,208.91,2.0,5.0,2.0,1,4.0,UpTo3Years,15To25Years,7.0,1.0,100.0,0.0,50.0,0.0,0.0,150.0,1000.0,1300.0,5.0,1153.0,1.0,36.3,438.09,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1272,13.0,4.0,4.0,4000.0,1.0,49.0,0.0,EE,60.0,113.51,0.0,5.0,2.0,0,3.0,UpTo3Years,15To25Years,13.0,7.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,11.0,1858.91,5.0,67.86,23.58,1.0,False,2.0,3200.0,2335.57,4000.0,1.0,0.0,1.0,0.0,0.0,0.0
1273,12.0,5.0,4.0,2000.0,1.0,25.0,1.0,EE,60.0,92.06,3.0,2.0,2.0,0,5.0,UpTo1Year,LessThan2Years,1.0,7.0,0.0,0.0,266.0,0.0,134.0,0.0,0.0,400.0,5.0,398.0,3.0,36.76,2.94,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1274,10.0,3.0,4.0,1275.0,6.0,45.0,1.0,ES,60.0,53.51,7.0,5.0,1.0,0,3.0,MoreThan5Years,15To25Years,15.0,8.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,1182.0,6.0,1423.0,2.0,28.3,15.49,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1276,9.0,6.0,1.0,4500.0,1.0,53.0,1.0,EE,60.0,144.71,3.0,4.0,1.0,0,5.0,MoreThan5Years,MoreThan25Years,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,3.0,526.0,0.0,52.59,129.29,11.0,True,0.0,0.0,0.0,4500.0,1.0,1.0,1.0,0.0,0.0,0.0
1277,23.0,2.0,4.0,2125.0,6.0,47.0,0.0,ES,60.0,74.82,7.0,3.0,3.0,0,3.0,MoreThan5Years,MoreThan25Years,14.0,1.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,7.0,1106.61,2.0,45.59,144.57,1.0,False,1.0,3000.0,940.55,4900.0,3.0,0.0,1.0,0.0,0.0,0.0
1280,14.0,4.0,3.0,3000.0,4.0,41.0,0.0,FI,48.0,98.05,0.0,2.0,2.0,2,3.0,MoreThan5Years,15To25Years,6.0,1.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,6.0,2205.0,1.0,28.24,196.95,24.0,True,0.0,0.0,0.0,3000.0,1.0,0.0,1.0,0.0,0.0,0.0
1282,12.0,5.0,3.0,2400.0,1.0,53.0,0.0,EE,60.0,69.08,5.0,5.0,4.0,0,3.0,UpTo1Year,MoreThan25Years,13.0,1.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,4.0,581.0,2.0,40.81,196.92,12.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1284,19.0,5.0,4.0,1595.0,1.0,21.0,1.0,EE,60.0,48.83,7.0,3.0,3.0,1,3.0,UpTo1Year,2To5Years,7.0,3.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,5.0,567.0,1.0,23.47,209.17,7.0,False,0.0,0.0,0.0,500.0,1.0,0.0,1.0,0.0,0.0,0.0
1286,15.0,6.0,3.0,3000.0,4.0,27.0,1.0,FI,60.0,91.26,7.0,5.0,2.0,1,3.0,MoreThan5Years,5To10Years,17.0,1.0,1800.0,0.0,97.0,0.0,0.0,0.0,400.0,2297.0,4.0,1167.0,0.0,24.78,1038.74,1.0,True,0.0,0.0,0.0,3000.0,1.0,0.0,1.0,0.0,0.0,0.0
1287,9.0,7.0,4.0,4250.0,6.0,41.0,1.0,ES,60.0,215.99,7.0,4.0,1.0,0,3.0,MoreThan5Years,15To25Years,11.0,8.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,2.0,728.0,0.0,18.46,226.01,1.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1288,12.0,3.0,4.0,2125.0,6.0,39.0,0.0,ES,60.0,83.84,2.0,4.0,3.0,1,3.0,UpTo2Years,15To25Years,7.0,8.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.0,8.0,2179.0,3.0,38.73,36.16,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1289,9.0,4.0,4.0,1000.0,3.0,21.0,1.0,EE,36.0,45.22,6.0,3.0,2.0,0,3.0,UpTo1Year,2To5Years,7.0,3.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,2.0,260.0,1.0,14.88,8.78,26.0,True,0.0,0.0,0.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.0
1291,15.0,3.0,4.0,500.0,1.0,21.0,1.0,EE,60.0,14.32,4.0,4.0,2.0,0,3.0,UpTo2Years,2To5Years,1.0,4.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,4.0,757.73,1.0,18.8,207.95,27.0,False,1.0,500.0,59.79,500.0,1.0,0.0,1.0,0.0,0.0,0.0
1292,10.0,6.0,4.0,8000.0,3.0,34.0,0.0,EE,60.0,316.29,0.0,3.0,3.0,0,3.0,MoreThan5Years,10To15Years,10.0,2.0,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0,6.0,963.14,3.0,45.15,344.57,16.0,False,1.0,2500.0,3182.18,8000.0,1.0,1.0,1.0,0.0,0.0,0.0
1293,10.0,6.0,3.0,1060.0,1.0,21.0,0.0,EE,60.0,44.9,2.0,4.0,3.0,0,3.0,UpTo3Years,5To10Years,3.0,2.0,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,2.0,440.0,0.0,13.26,638.1,11.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1297,19.0,6.0,4.0,3000.0,1.0,55.0,0.0,EE,60.0,90.97,8.0,4.0,1.0,0,3.0,TrialPeriod,LessThan2Years,5.0,1.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,6.0,638.01,1.0,60.57,11.02,7.0,False,1.0,1500.0,1112.01,3000.0,1.0,0.0,1.0,0.0,0.0,0.0
1298,17.0,5.0,1.0,6375.0,3.0,25.0,0.0,EE,60.0,240.27,1.0,3.0,2.0,0,3.0,UpTo5Years,5To10Years,10.0,3.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,7.0,814.19,2.0,63.18,44.54,10.0,False,2.0,4395.0,1238.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1299,11.0,4.0,1.0,3000.0,1.0,43.0,1.0,EE,36.0,136.14,7.0,5.0,2.0,2,5.0,UpTo1Year,15To25Years,12.0,8.0,0.0,200.0,210.0,0.0,0.0,0.0,775.0,1185.0,3.0,825.0,0.0,21.62,223.86,10.0,True,0.0,0.0,0.0,3000.0,1.0,0.0,1.0,0.0,0.0,0.0
1300,15.0,4.0,4.0,530.0,1.0,23.0,0.0,EE,60.0,15.76,2.0,4.0,2.0,1,3.0,UpTo2Years,LessThan2Years,6.0,3.0,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.0,5.0,758.0,0.0,29.67,523.24,22.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1301,14.0,6.0,4.0,2655.0,6.0,43.0,0.0,ES,60.0,133.84,7.0,5.0,4.0,0,3.0,MoreThan5Years,15To25Years,1.0,6.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,3.0,616.0,0.0,51.86,21.16,5.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1302,10.0,5.0,3.0,1000.0,1.0,32.0,1.0,EE,18.0,68.58,5.0,4.0,1.0,1,3.0,UpTo4Years,2To5Years,1.0,1.0,1000.0,0.0,45.0,0.0,0.0,0.0,0.0,1045.0,2.0,368.0,1.0,6.56,663.42,12.0,True,0.0,0.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0
1304,9.0,6.0,4.0,1500.0,1.0,30.0,1.0,EE,60.0,57.54,0.0,5.0,3.0,1,3.0,UpTo5Years,10To15Years,1.0,3.0,674.0,0.0,102.0,0.0,0.0,0.0,30.0,806.0,6.0,929.0,1.0,41.75,219.46,10.0,True,0.0,0.0,0.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.0
1305,20.0,4.0,3.0,2500.0,4.0,32.0,0.0,FI,12.0,252.57,2.0,2.0,1.0,1,3.0,MoreThan5Years,15To25Years,5.0,1.0,2623.0,0.0,0.0,0.0,0.0,0.0,0.0,2623.0,3.0,1586.0,0.0,40.13,784.43,1.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1306,14.0,3.0,3.0,1500.0,3.0,33.0,0.0,EE,48.0,48.85,3.0,3.0,1.0,1,3.0,UpTo3Years,5To10Years,4.0,3.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,3.0,401.84,0.0,27.34,283.31,15.0,False,1.0,1000.0,162.41,3635.0,1.0,1.0,1.0,0.0,0.0,0.0
1307,20.0,2.0,1.0,2335.0,1.0,34.0,0.0,EE,60.0,101.83,0.0,4.0,2.0,0,3.0,MoreThan5Years,10To15Years,6.0,1.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,2.0,530.0,1.0,16.35,271.17,4.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1308,14.0,3.0,1.0,530.0,1.0,50.0,1.0,EE,60.0,15.71,7.0,4.0,3.0,1,3.0,UpTo4Years,15To25Years,9.0,2.0,500.0,0.0,45.0,0.0,0.0,0.0,0.0,545.0,4.0,432.32,0.0,36.34,96.97,27.0,False,3.0,5450.0,1556.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1309,11.0,4.0,1.0,3000.0,3.0,38.0,0.0,EE,60.0,88.91,5.0,3.0,1.0,0,3.0,MoreThan5Years,15To25Years,6.0,1.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,7.0,711.0,1.0,55.55,130.09,13.0,False,0.0,0.0,0.0,1500.0,2.0,0.0,1.0,0.0,0.0,0.0
1310,14.0,2.0,4.0,6375.0,6.0,45.0,0.0,ES,60.0,251.53,4.0,3.0,3.0,0,3.0,UpTo2Years,10To15Years,9.0,2.0,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,6.0,1922.0,1.0,61.08,145.47,5.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1311,17.0,3.0,4.0,1595.0,1.0,40.0,0.0,EE,60.0,44.14,5.0,5.0,1.0,1,3.0,MoreThan5Years,15To25Years,7.0,1.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,9.0,1464.0,2.0,53.5,174.86,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1312,14.0,3.0,4.0,3000.0,3.0,35.0,1.0,EE,60.0,99.98,5.0,4.0,2.0,2,3.0,UpTo1Year,10To15Years,17.0,1.0,476.0,0.0,90.0,0.0,0.0,0.0,0.0,566.0,4.0,533.02,2.0,30.57,143.0,18.0,False,2.0,3600.0,2314.66,1345.0,1.0,0.0,1.0,0.0,0.0,0.0
1313,10.0,6.0,4.0,1500.0,3.0,34.0,0.0,EE,60.0,59.35,7.0,3.0,2.0,1,3.0,UpTo2Years,10To15Years,4.0,8.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,4.0,760.0,2.0,9.89,10.65,20.0,False,2.0,1300.0,1462.89,3000.0,2.0,0.0,1.0,0.0,0.0,0.0
1314,21.0,2.0,4.0,3190.0,1.0,21.0,0.0,EE,60.0,104.74,7.0,2.0,2.0,0,3.0,UpTo3Years,2To5Years,3.0,2.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,3.0,353.0,2.0,28.38,14.26,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1315,10.0,6.0,3.0,3000.0,3.0,30.0,0.0,EE,60.0,91.49,2.0,3.0,1.0,0,4.0,UpTo1Year,10To15Years,6.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,2.0,342.0,0.0,33.36,116.51,25.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1317,14.0,5.0,1.0,4250.0,1.0,30.0,0.0,EE,48.0,196.67,7.0,2.0,3.0,1,3.0,UpTo4Years,10To15Years,1.0,3.0,700.0,155.0,0.0,0.0,55.0,0.0,0.0,910.0,8.0,615.0,0.0,59.19,98.33,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1318,9.0,5.0,1.0,2500.0,4.0,65.0,1.0,FI,60.0,88.07,8.0,2.0,1.0,0,6.0,UpTo2Years,MoreThan25Years,17.0,7.0,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,1303.0,2.0,537.16,0.0,9.61,677.77,3.0,False,1.0,1000.0,116.57,600.0,2.0,0.0,1.0,0.0,0.0,0.0
1319,16.0,4.0,4.0,4250.0,1.0,31.0,1.0,EE,60.0,147.24,0.0,3.0,2.0,1,3.0,UpTo4Years,10To15Years,10.0,8.0,1156.0,0.0,45.0,0.0,0.0,0.0,0.0,1201.0,9.0,1464.1,3.0,44.24,83.66,27.0,False,3.0,7500.0,5376.89,3200.0,3.0,0.0,1.0,0.0,0.0,0.0
1320,9.0,3.0,3.0,1800.0,4.0,27.0,0.0,FI,12.0,173.26,6.0,5.0,3.0,0,3.0,TrialPeriod,2To5Years,10.0,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,5.0,1265.0,0.0,23.79,361.74,1.0,True,0.0,0.0,0.0,1800.0,1.0,0.0,1.0,0.0,0.0,0.0
1322,11.0,3.0,4.0,2500.0,1.0,32.0,1.0,EE,60.0,75.58,7.0,4.0,2.0,1,3.0,MoreThan5Years,10To15Years,7.0,7.0,0.0,0.0,45.0,0.0,813.0,0.0,0.0,858.0,4.0,725.92,1.0,36.07,111.5,27.0,False,3.0,9400.0,7249.26,2500.0,1.0,1.0,1.0,0.0,0.0,0.0
1323,15.0,5.0,4.0,8505.0,4.0,35.0,0.0,FI,60.0,317.94,0.0,2.0,3.0,0,3.0,UpTo1Year,2To5Years,8.0,3.0,2285.0,0.0,0.0,0.0,0.0,0.0,0.0,2285.0,13.0,2520.0,2.0,64.51,126.06,20.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1325,8.0,6.0,3.0,3190.0,1.0,29.0,1.0,EE,60.0,111.18,3.0,5.0,2.0,3,3.0,UpTo1Year,5To10Years,17.0,1.0,0.0,0.0,250.0,0.0,0.0,320.0,150.0,720.0,2.0,414.53,0.0,38.29,194.29,12.0,False,1.0,4000.0,523.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1326,20.0,3.0,4.0,2100.0,6.0,31.0,0.0,ES,36.0,94.99,2.0,5.0,3.0,0,3.0,UpTo1Year,10To15Years,14.0,2.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,4.0,754.0,1.0,43.95,95.01,25.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1329,18.0,2.0,1.0,1000.0,4.0,36.0,0.0,FI,60.0,28.86,6.0,2.0,2.0,1,3.0,MoreThan5Years,5To10Years,6.0,4.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,5.0,1125.0,0.0,31.3,296.14,25.0,True,0.0,0.0,0.0,1500.0,1.0,1.0,1.0,0.0,0.0,0.0
1330,14.0,7.0,2.0,63.9116,1.0,21.0,0.0,EE,6.0,,3.0,5.0,4.0,0,5.0,UpTo2Years,5To10Years,,,15500.0,0.0,0.0,0.0,0.0,0.0,0.0,15500.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1331,17.0,7.0,2.0,958.6747,1.0,19.0,1.0,EE,24.0,,6.0,2.0,3.0,2,3.0,UpTo1Year,LessThan2Years,,,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,12.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1332,18.0,7.0,2.0,639.1165,1.0,38.0,0.0,EE,12.0,,6.0,4.0,4.0,4,3.0,UpTo4Years,15To25Years,,,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1333,18.0,7.0,2.0,958.6747,1.0,55.0,1.0,EE,24.0,,2.0,3.0,2.0,3,3.0,MoreThan5Years,MoreThan25Years,,,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1334,20.0,7.0,2.0,766.9398,1.0,46.0,1.0,EE,12.0,,8.0,5.0,1.0,5,3.0,MoreThan5Years,MoreThan25Years,,,9000.0,0.0,0.0,0.0,0.0,0.0,1700.0,10700.0,0.0,0.0,0.0,0.0,0.0,6.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1335,20.0,1.0,2.0,127.8233,1.0,48.0,1.0,EE,1.0,,6.0,5.0,4.0,0,3.0,,MoreThan25Years,,,9340.0,0.0,0.0,0.0,0.0,0.0,2000.0,11340.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1336,12.0,5.0,2.0,447.3815,1.0,30.0,0.0,EE,6.0,,2.0,4.0,3.0,0,3.0,,10To15Years,,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,11.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1337,12.0,5.0,2.0,319.5582,1.0,43.0,1.0,EE,6.0,,7.0,4.0,1.0,5,5.0,,10To15Years,,,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,0.0,0.0,0.0,20.0,True,1.0,281.191,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
