,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,DEFAULT,NrDependantsGiven
13,IncomeExpensesVerified,2000.0,Estonian,31,Male,EE,60,56.49,Other,EducationLoan,Single,0,Fully employed,MoreThan5Years,2To5Years,Transport and warehousing,"Tenant, Pre-furnished Property",605.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,7,722.4,1,53.04,34.11,0,2.0,2100.0,1574.57,2000.0,1.0,0,0
14,IncomeExpensesVerified,530.0,Estonian,45,Female,EE,60,16.92,Home improvement,EducationLoan,Married,0,Fully employed,MoreThan5Years,15To25Years,Other,Owner with Encumbrance,633.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,7,666.0,1,30.32,41.08,1,0.0,0.0,0.0,0.0,0.0,0,0
15,IncomeVerified,5500.0,Estonian,49,Male,EE,60,162.64,Home improvement,EducationLoan,Divorced,0,Entrepreneur,MoreThan5Years,MoreThan25Years,Research,Owner,550.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1,250.0,0,29.57,137.36,1,0.0,0.0,0.0,0.0,0.0,0,0
16,IncomeExpensesVerified,6900.0,Estonian,31,Male,EE,60,212.13,Other,Home improvement,Single,1,Fully employed,MoreThan5Years,5To10Years,Agriculture,Owner,833.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0,10,754.0,4,45.75,201.87,0,1.0,1500.0,1678.75,15900.0,2.0,0,0
18,IncomeExpensesVerified,3190.0,Estonian,22,Female,EE,60,155.89,Other,Business,Single,0,Fully employed,UpTo1Year,LessThan2Years,Processing,Living with Parents,430.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,7,595.0,5,40.21,7.11,0,2.0,1600.0,1901.16,0.0,0.0,0,0
19,IncomeUnverified,530.0,Spanish,42,Female,ES,60,25.63,Other,Travel,Single,0,Fully employed,UpTo1Year,LessThan2Years,Other,Owner,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9,1097.32,2,58.9,61.05,0,1.0,600.0,344.09,0.0,0.0,0,0
22,IncomeExpensesVerified,3720.0,Finnish,67,Male,FI,60,121.52,Loan consolidation,Business,Divorced,0,Retiree,UpTo2Years,MoreThan25Years,Construction,"Tenant, Pre-furnished Property",0.0,1287.0,0.0,104.0,0.0,0.0,0.0,1391.0,12,1637.0,3,60.21,53.48,1,0.0,0.0,0.0,0.0,0.0,0,0
24,IncomeExpensesVerified,2500.0,Estonian,23,Female,EE,60,93.22,Vehicle,EducationLoan,Cohabitant,0,Fully employed,UpTo1Year,2To5Years,Processing,Joint Ownership,277.0,237.0,0.0,40.0,0.0,0.0,0.0,554.0,4,535.0,1,48.6,34.78,0,2.0,3800.0,4456.41,18000.0,8.0,0,0
25,IncomeUnverified,9565.0,Spanish,45,Male,ES,60,393.93,Home improvement,Travel,Single,0,Fully employed,MoreThan5Years,15To25Years,Healthcare,Owner,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,1,750.0,0,15.76,1356.07,1,0.0,0.0,0.0,0.0,0.0,1,0
26,IncomeVerified,3500.0,Estonian,28,Male,EE,60,160.68,Business,Home improvement,Single,0,Fully employed,MoreThan5Years,5To10Years,Agriculture,Living with Parents,418.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,1,250.0,0,38.44,7.32,1,0.0,0.0,0.0,0.0,0.0,0,0
27,IncomeExpensesVerified,4000.0,Estonian,28,Female,EE,60,153.53,Other,Home improvement,Cohabitant,1,Fully employed,MoreThan5Years,10To15Years,Other,Living with Parents,0.0,170.0,45.0,38.0,342.0,0.0,0.0,595.0,4,515.0,1,54.88,18.47,1,0.0,0.0,0.0,3395.0,1.0,0,0
28,IncomeUnverified,2000.0,Estonian,49,Female,EE,60,64.33,Vehicle,EducationLoan,Married,1,Fully employed,MoreThan5Years,MoreThan25Years,Administrative,Owner,320.0,0.0,19.0,0.0,0.0,0.0,0.0,339.0,2,364.0,1,18.98,24.67,1,0.0,0.0,0.0,2000.0,1.0,1,0
30,IncomeVerified,2500.0,Finnish,26,Female,FI,6,478.44,Other,Business,Married,1,Fully employed,UpTo3Years,2To5Years,Other,"Tenant, Pre-furnished Property",1605.0,0.0,95.0,0.0,0.0,0.0,0.0,1700.0,5,1400.0,1,68.73,21.56,1,0.0,0.0,0.0,1140.0,2.0,1,0
31,IncomeUnverified,530.0,Estonian,22,Female,EE,60,22.33,EducationLoan,Home improvement,Single,0,Fully employed,UpTo5Years,2To5Years,Hospitality and catering,"Tenant, Pre-furnished Property",650.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,2,350.0,0,18.82,277.67,1,0.0,0.0,0.0,0.0,0.0,0,0
33,IncomeUnverified,1060.0,Estonian,31,Male,EE,60,44.16,Home improvement,EducationLoan,Single,0,Fully employed,UpTo5Years,5To10Years,Retail and wholesale,Living with Parents,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,9,2460.93,3,64.34,84.91,0,1.0,6000.0,2938.01,0.0,0.0,0,0
36,IncomeExpensesVerified,3000.0,Estonian,33,Male,EE,60,104.06,Loan consolidation,Business,Single,0,Fully employed,MoreThan5Years,10To15Years,Construction,Owner,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,2,619.0,0,10.03,314.94,1,0.0,0.0,0.0,6000.0,2.0,0,0
37,IncomeUnverified,1595.0,Estonian,27,Male,EE,48,73.8,Business,EducationLoan,Cohabitant,2,Fully employed,UpTo1Year,5To10Years,Agriculture,"Tenant, unfurnished Property",900.0,0.0,0.0,0.0,700.0,0.0,0.0,1600.0,2,590.0,0,11.49,936.2,0,1.0,2000.0,2711.57,0.0,0.0,0,0
38,IncomeVerified,1500.0,Estonian,46,Male,EE,60,41.41,Home improvement,EducationLoan,Divorced,0,Fully employed,UpTo2Years,MoreThan25Years,Agriculture,Mortgage,1461.0,150.0,0.0,0.0,0.0,0.0,0.0,1611.0,3,893.0,0,2.57,676.59,1,0.0,0.0,0.0,0.0,0.0,0,0
39,IncomeVerified,1000.0,Spanish,32,Male,ES,48,56.63,Home improvement,Home improvement,Single,0,Fully employed,MoreThan5Years,10To15Years,Other,Living with Parents,932.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,1,350.0,0,6.08,525.37,1,0.0,0.0,0.0,1000.0,1.0,1,0
40,IncomeExpensesVerified,4000.0,Finnish,34,Male,FI,60,149.02,Home improvement,Business,Single,0,Fully employed,MoreThan5Years,15To25Years,Construction,Owner,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,9,1423.0,5,59.16,12.98,1,0.0,0.0,0.0,4000.0,1.0,1,0
41,IncomeUnverified,1200.0,Estonian,47,Male,EE,60,35.56,Home improvement,Business,Cohabitant,1,Fully employed,UpTo3Years,MoreThan25Years,Construction,Owner,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,3,818.75,0,17.46,945.69,0,1.0,1500.0,302.18,1200.0,1.0,1,0
42,IncomeUnverified,1000.0,Finnish,68,Male,FI,60,34.33,Health,Home improvement,Married,0,Retiree,MoreThan5Years,MoreThan25Years,Other,Owner,0.0,1706.0,0.0,0.0,0.0,0.0,0.0,1706.0,8,1919.0,1,45.1,25.67,1,0.0,0.0,0.0,0.0,0.0,0,0
43,IncomeExpensesVerified,4785.0,Finnish,69,Female,FI,60,134.84,Other,EducationLoan,Single,0,Retiree,MoreThan5Years,MoreThan25Years,Finance and insurance,"Tenant, unfurnished Property",0.0,1870.0,0.0,0.0,0.0,0.0,0.0,1870.0,12,2202.0,5,69.99,0.16,1,0.0,0.0,0.0,0.0,0.0,1,0
44,IncomeVerified,5000.0,Spanish,43,Female,ES,18,436.33,Loan consolidation,Travel,Divorced,0,Partially employed,UpTo1Year,5To10Years,Retail and wholesale,"Tenant, unfurnished Property",950.0,0.0,0.0,0.0,0.0,200.0,0.0,1150.0,6,924.0,2,68.38,13.67,1,0.0,0.0,0.0,0.0,0.0,0,0
47,IncomeUnverified,4785.0,Finnish,43,Male,FI,60,159.3,Vehicle,Travel,Married,0,Fully employed,MoreThan5Years,15To25Years,Finance and insurance,Mortgage,1871.0,0.0,0.0,0.0,0.0,0.0,0.0,1871.0,6,1658.8,1,38.7,285.9,0,2.0,4635.0,1528.1,0.0,0.0,0,0
48,IncomeUnverified,500.0,Spanish,28,Male,ES,36,25.85,Real estate,EducationLoan,Single,0,Fully employed,UpTo3Years,2To5Years,Agriculture,Living with Parents,800.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,1,350.0,0,3.23,424.15,1,0.0,0.0,0.0,1200.0,1.0,1,0
49,IncomeExpensesVerified,2125.0,Estonian,37,Female,EE,60,81.01,Loan consolidation,EducationLoan,Single,0,Fully employed,UpTo5Years,15To25Years,Real-estate,Living with Parents,496.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,9,1392.0,5,45.57,19.99,1,0.0,0.0,0.0,0.0,0.0,0,0
53,IncomeExpensesVerified,500.0,Estonian,32,Female,EE,60,13.63,Home improvement,Business,Cohabitant,1,Fully employed,UpTo1Year,2To5Years,Hospitality and catering,"Tenant, Pre-furnished Property",412.0,0.0,64.0,0.0,0.0,0.0,0.0,476.0,4,512.31,1,14.9,155.06,0,1.0,500.0,183.02,0.0,0.0,0,0
56,IncomeExpensesVerified,9565.0,Estonian,25,Male,EE,60,285.29,Loan consolidation,Travel,Single,0,Fully employed,UpTo5Years,5To10Years,Energy,Living with Parents,850.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,5,896.0,2,69.45,4.71,1,0.0,0.0,0.0,0.0,0.0,0,0
57,IncomeExpensesVerified,1595.0,Estonian,23,Female,EE,60,59.64,Vehicle,EducationLoan,Single,0,Fully employed,UpTo1Year,LessThan2Years,Education,Living with Parents,430.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,6,424.0,2,36.2,24.36,1,0.0,0.0,0.0,0.0,0.0,0,0
